FAO_code,Latin,English,Spanish,French
aba,Albulichthys albuloides,,,
abb,Abbottina rivularis,Chinese false gudgeon,,
abc,Amblypharyngodon microlepis,,,
abd,Alburnus albidus,,,
abe,Aborichthys elongatus,,,
abf,Haliotis rufescens,Red abalone,Abulón colorado,Ormeau rouge
abg,Haliotis gigantea,Giant abalone,Abulón gigante,Ormeau géant
abh,Astroblepus chotae,,,
abi,Alburnoides bipunctatus,Schneider,,
abj,Haliotis discus,Japanese abalone,Abulón japonés,Ormeau japonais
abk,Blicca bjoerkna,White bream,,
abl,Amblypharyngodon melettinus,Attentive carplet,,
abm,Haliotis diversicolor,Small abalone,,
abn,Acanthobunocephalus nicoi,,,
abo,Amblypharyngodon mola,,,
abp,Haliotis midae,Perlemoen abalone,Oreja de mar,Ormeau de Mida
abq,Abramites eques,,,
abr,Haliotis rubra,Blacklip abalone,Oreja de mar de labios negros,Ormeau à lèvres noires
abs,Penaeus aztecus,Northern brown shrimp,Camarón café norteño,Crevette royale grise
abt,Amblyrhynchichthys truncatus,,,
abu,Abudefduf saxatilis,Sergeant-major,,
abv,Alabes parvulus,Pygmy shore-eel,,
abw,Ablabys binotatus,Redskinfish,,
abx,Haliotis spp,Abalones nei,Orejas de mar nep,Ormeaux
aby,Amblyopsis rosae,Ozark cavefish,,
abz,Ammodytes tobianus,Small sandeel,Aguacioso,Équille
aca,Acromycter nezumi,,,
acb,Scapharca broughtonii,Inflated ark,,
acc,Gymnocephalus cernuus,Ruffe,Acerina,Grémille
acd,Chlopsis dentatus,Mottled false moray,,
ace,Paruroconger drachi,,,
acf,Acestrorhynchus falcatus,,,
acg,Acanthogobius ommaturus,,,
ach,Salvelinus alpinus,Arctic char,Trucha alpina,Omble-chevalier
aci,Acnodon normani,,,
acj,Japonoconger africanus,,,
ack,Kaupichthys hyoproroides,False moray,,
acl,Heteroconger longissimus,,,
acm,Macrocephenchelys brachialis,,,
acn,Aculeola nigra,Hooktooth dogfish,Tollo negro de cachos,Squale noir
aco,Coloconger raniceps,,,
acp,Chilorhinus platyrhynchus,Flatnose xenocongrid eel,,
acq,Astrocottus leprops,,,
acr,Acropomatidae,"Glow-bellies, splitfins nei",Farolitos nep,"Macondes, etc."
acs,Heteroconger hassi,Spotted garden-eel,,
act,Paraconger caudilimbatus,Margintail conger,,
acu,Lumiconger arafura,,,
acv,Acanthocepola abbreviata,Bandfish,,
acw,Amblycirrhitus earnshawi,,,
acx,Acanthaxius caespitosa,Deep-water mud lobster,Langosta peluda de profundidad,Langouste poilue de profondeur
acy,Parabathymyrus macrophthalmus,,,
acz,Cambaridae,American crayfishes nei,Cangrejos río americanos nep,Écrevisses américaines
ada,Aspidoras albater,,,
adb,Adontosternarchus balaenops,,,
adc,Acrochordonichthys chamaeleon,,,
add,Derichthys serpentinus,Narrownecked oceanic eel,,
ade,Allotoca dugesii,Opal allotoca,,
adf,Aspredinichthys filamentosus,Sevenbarbed banjo,,
adg,Anadoras grypus,,,
adh,Amblyglyphidodon aureus,Golden damselfish,,
adi,Aplocheilus dayi,Ceylon killifish,,
adj,Pardachirus pavoninus,Peacock sole,,
adk,Artedidraco skottsbergi,,,
adl,Antipodocottus elegans,,,
adm,Autanadoras milesi,,,
adn,Nessorhamphus ingolfianus,Duckbill oceanic eel,,
ado,Artediellus dydymovi,,,
adp,Austrofundulus dolichopterus,Saberfin killie,,
adq,Antipathes dichotoma,Black coral,,
adr,Aspredo aspredo,Banjo,,
ads,Arnoldichthys spilopterus,Niger tetra,,
adt,Pardachirus marmoratus,Finless sole,,
adu,Allodontichthys hubbsi,Whitepatched splitfin,,
adv,Apuredoras rivasi,,,
adw,Artedius corallinus,Coralline sculpin,,
adx,Adinia xenica,Diamond killifish,,
ady,Aspredo cotylephorus,Banded banjo,,
adz,Artedidraco glareobarbatus,,,
aea,Alestes lateralis,Stripped robber,,
aeb,Alestes baremoze,,,
aec,Astronesthes cyclophotus,,,
aed,Alestes dentex,,,
aee,Einara edentula,Toothless smooth-head,,
aef,Apteronotus albifrons,Black ghost,,
aeg,Astronesthes gemmifer,,,
aeh,Alestopetersius brichardi,,,
aei,Auchenipterus nigripinnis,,,
aej,Astronesthes indicus,,,
aek,Herwigia kreffti,Krefft's smooth-head,,
ael,Leptoderma lubricum,,,
aem,Aethotaxis mitopteryx,Longfin icedevil,Diablillo de hebra,Calandre fil
aen,Ericara niger,,,
aeo,Astronesthes leucopogon,,,
aep,Astronesthes neopogon,,,
aer,Aequidens rivulatus,Green terror,Vieja azul,
aes,Pandalus montagui,Aesop shrimp,Camarón esópico,Crevette ésope
aet,Aetapcus maculatus,Warty prowfish,,
aeu,Auchenoceros punctatus,Ahuru,,
aev,Asemichthys taylori,Spinynose sculpin,,
aew,Atherinosoma wallacei,,,
aex,Aethiomastacembelus sexdecimspinus,,,
aey,Apteronotus leptorhynchus,,,
aez,Abyssocottus elochini,,,
afa,Forbesichthys agassizi,Spring cavefish,,
afb,Aphyoplatys duboisi,,,
afc,Atherinopsis californiensis,Jack silverside,,
afd,Aphanius dispar,,,
afe,Aplocheilichthys fuelleborni,,,
aff,Atherion africanus,Pricklenose silverside,,
afg,Asthenomacrurus fragilis,Fragile grenadier,,
afh,Aphyosemion ahli,,,
afi,Conocara fiolenti,Fiolenti's smooth-head,,
afj,Aphanius iberus,Spanish toothcarp,,
afk,Apsilus fuscus,African forktail snapper,Pargo tijera,Vivaneau fourche d'Afrique
afl,Antennatus flagellatus,,,
afm,Adamas formosus,Starhead killi,,
afn,Antennarius nummifer,Spotfin frogfish,,
afo,Aspidophoroides bartoni,Aleutian alligatorfish,,
afp,Amphiprion akallopisos,Skunk clownfish,,
afq,Paphies australis,Pipi wedge clam,,
afr,Alloophorus robustus,Bulldog goodeid,,
afs,Aphanius fasciatus,,,
aft,Agonus cataphractus,Hooknose,,
afu,Alfaro cultratus,,,
afv,Aulorhynchus flavidus,Tube-snout,,
afw,Assessor flavissimus,Yellow devilfish,,
afx,Amphibolis antarctica,Sea nymph,,
afy,Amphiprion akindynos,Barrier reef anemonefish,,
afz,Afronandus sheljuzhkoi,Fourspine leaffish,,
aga,Guentherus altivela,Jellynose,,
agb,Antipathes grandis,"Umimatsu, pine coral",,
agc,Amblygaster clupeoides,Bleeker smoothbelly sardinella,Sardinela vientre liso,Sardinelle coulat
agd,Gymnothorax maderensis,Sharktooth moray,,
age,Agosia chrysogaster,Longfin dace,,
agf,Agmus lyriformis,Gnarled catfish,,
agg,Gymnothorax moringa,Spotted moray,,
agh,Gymnotus pantherinus,,,
agi,Gymnothorax polygonius,,,
agj,Argobuccinum olearium,Oil-vessel triton,,Ranelle geante
agk,Gymnothorax unicolor,Brown moray,Morena negra,Murène brune
agl,Amblygaster leiogaster,Smoothbelly sardinella,Sardinela daniva,Sardinelle daniva
agm,Alligator mississippiensis,American alligator,Caimán americano,Alligator américain
agn,Squatina squatina,Angelshark,Angelote,Ange de mer commun
ago,Gymnothorax pseudothyrsoideus,Highfin moray,,
agp,Agrostichthys parkeri,Streamer fish,,
agq,Aulostomus strigosus,,,
agr,Aplodinotus grunniens,Freshwater drum,Roncador de agua dulce,Malachigan
ags,Amblygaster sirm,Spotted sardinella,Sardinela manchada,Sardinelle tachetée
agt,Gymnothorax meleagris,Turkey moray,,
agu,Gymnothorax rueppelliae,Banded moray,,
agv,Altolamprologus calvus,,,
agw,Anoplogaster cornuta,Common fangtooth,,
agx,Gymnothorax mordax,California moray,,
agy,Gymnothorax porphyreus,,,
agz,Argyrocottus zanderi,,,
aha,Acanthorhodeus asmussii,Russian bitterling,,
ahb,Atopochilus chabanaudi,,,
ahc,Anchovia macrolepidota,Bigscale anchovy,Anchoa plateada,Anchois à grandes écailles
ahd,Abythites lepidogenys,,,
ahe,Archaulus biseriatus,Scaled sculpin,,
ahf,Aphanotorulus frankei,,,
ahg,Psephurus gladius,Chinese swordfish,,
